,en,lat,lng
0,Bianchi's Warbler,22.476734,106.98217
1,Bianchi's Warbler,22.463232,106.957596
0,Black Bulbul,27.64757,117.94278
1,Black Bulbul,31.028845,119.898605
2,Black Bulbul,24.483877,118.08644
3,Black Bulbul,24.666752,97.599
4,Black Bulbul,24.861746,118.12162
5,Black Bulbul,24.545643,97.707825
6,Black Bulbul,24.460457,97.631905
7,Black Bulbul,26.089828,119.23395
8,Black Bulbul,23.18312,113.29759
9,Black Bulbul,24.847673,118.026924
10,Black Bulbul,30.253456,120.11699
11,Black Bulbul,30.093533,120.11677
12,Black Bulbul,24.476065,97.584335
13,Black Bulbul,27.677689,117.97489
14,Black Bulbul,30.119272,120.07067
15,Black Bulbul,24.579262,118.56859
16,Black Bulbul,23.262941,114.06437
17,Black Bulbul,26.149008,119.29217
18,Black Bulbul,23.906157,106.61031
19,Black Bulbul,26.085672,119.26489
20,Black Bulbul,18.260117,109.52598
21,Black Bulbul,25.045095,102.59292
22,Black Bulbul,31.23457,120.566795
23,Black Bulbul,30.193241,120.1185
24,Black Bulbul,22.303108,106.70389
25,Black Bulbul,24.44774,97.541595
26,Black Bulbul,22.463232,106.957596
27,Black Bulbul,22.54401,106.59544
28,Black Bulbul,23.104862,105.73888
29,Black Bulbul,22.260609,106.73683
30,Black Bulbul,25.269384,108.06527
31,Black Bulbul,25.917171,119.13156
0,Black-faced Bunting,31.238844,120.8011
1,Black-faced Bunting,27.65241,117.981384
2,Black-faced Bunting,40.39546,115.82937
3,Black-faced Bunting,28.951767,120.07401
4,Black-faced Bunting,30.344103,119.92858
5,Black-faced Bunting,30.119272,120.07067
6,Black-faced Bunting,29.814137,121.5421
7,Black-faced Bunting,30.920507,121.97316
8,Black-faced Bunting,31.259659,120.728516
9,Black-faced Bunting,30.241926,119.75857
10,Black-faced Bunting,30.423994,119.710686
11,Black-faced Bunting,31.331179,120.736115
12,Black-faced Bunting,31.204721,120.74921
13,Black-faced Bunting,31.021984,120.35151
14,Black-faced Bunting,30.093533,120.11677
15,Black-faced Bunting,31.063559,120.997215
16,Black-faced Bunting,30.936537,121.906685
17,Black-faced Bunting,23.289991,113.714325
18,Black-faced Bunting,31.366514,120.57373
19,Black-faced Bunting,31.139013,121.666374
20,Black-faced Bunting,30.25949,119.914825
21,Black-faced Bunting,39.690964,116.03421
22,Black-faced Bunting,30.946407,121.95392
23,Black-faced Bunting,26.877722,120.06498
24,Black-faced Bunting,24.847673,118.026924
25,Black-faced Bunting,40.01521,116.38802
26,Black-faced Bunting,31.349155,120.45297
27,Black-faced Bunting,30.931326,121.917534
28,Black-faced Bunting,31.214968,121.5496
29,Black-faced Bunting,30.605564,114.316185
30,Black-faced Bunting,29.726082,121.24989
31,Black-faced Bunting,24.579262,118.56859
32,Black-faced Bunting,31.095327,121.428314
33,Black-faced Bunting,24.51233,118.57577
34,Black-faced Bunting,31.318123,121.54807
35,Black-faced Bunting,31.280752,120.75163
36,Black-faced Bunting,31.157988,120.81632
37,Black-faced Bunting,24.90173,118.15031
38,Black-faced Bunting,26.149008,119.29217
39,Black-faced Bunting,30.513933,114.444626
40,Black-faced Bunting,31.554543,121.77723
41,Black-faced Bunting,28.52715,119.549866
42,Black-faced Bunting,26.367727,106.44163
43,Black-faced Bunting,31.321577,120.318054
44,Black-faced Bunting,30.12652,120.06906
45,Black-faced Bunting,31.957115,114.244255
46,Black-faced Bunting,26.510353,106.647385
47,Black-faced Bunting,27.826721,121.1492
48,Black-faced Bunting,32.875427,120.96796
49,Black-faced Bunting,39.717926,116.024445
50,Black-faced Bunting,24.551208,118.23059
51,Black-faced Bunting,30.154385,121.953094
52,Black-faced Bunting,22.524765,114.01123
53,Black-faced Bunting,30.304478,120.08615
54,Black-faced Bunting,32.424973,120.17022
55,Black-faced Bunting,29.427872,118.5583
56,Black-faced Bunting,29.559925,119.12599
57,Black-faced Bunting,31.800589,120.81192
58,Black-faced Bunting,28.046783,116.4621
59,Black-faced Bunting,29.699018,121.61353
60,Black-faced Bunting,31.128164,119.85458
61,Black-faced Bunting,22.520298,106.990486
62,Black-faced Bunting,31.182526,121.470825
63,Black-faced Bunting,31.340462,121.37495
64,Black-faced Bunting,22.476734,106.98217
65,Black-faced Bunting,30.898304,121.942055
66,Black-faced Bunting,31.603987,120.73946
